TotalRelatorio,Codigo,Descricao_Produto,Categoria,Quantidade,Preco,Atributos,Deposito,Marca,ValorTotal,NCM,Unidade
"R$ 35.167.575,97",M1445-1,FARINHA LACTEA,Mercearia,"-3,00","R$ 9,99",,Loja,NESTLE,"-R$ 29,97",04022110,UN
"R$ 35.167.575,97",M2209-1,FARINHA MANDIOA TORRADA FINA 500G,Mercearia,"-20,00","R$ 6,90",,Loja,DEUSA,"-R$ 138,00",11022000,UN
"R$ 35.167.575,97",M663-1,FARINHA MANDIOCA 500G BRANCA GROSSA,Mercearia,"-50,00","R$ 6,90",,Loja,DEUSA,"-R$ 345,00",11062000,UN
"R$ 35.167.575,97",M128-1,FARINHA MANDIOCA DEUSA 500G,Mercearia,"-20,00","R$ 7,90",,Loja,DEUSA,"-R$ 158,00",11062000,UN
"R$ 35.167.575,97",7896117600034,FARINHA MANDIOCA TEMPERADA BACON 250G,Mercearia,"-34,00","R$ 4,50",,Loja,DEUSA,"-R$ 153,00",11022000,UN
"R$ 35.167.575,97",M225-1,FARINHA ROSCA DEUSA 500G,Mercearia,"21,00","R$ 7,90",,Loja,DEUSA,"R$ 165,90",19019090,UN
"R$ 35.167.575,97",M27-1,FARINHA TRIGO DONA BENTA 1KG,Mercearia,"-5,00","R$ 6,90",,Loja,BENTA,"-R$ 34,50",11010010,UN
"R$ 35.167.575,97",M1530-1,FARINHA TRIGO NITA 1KG,Mercearia,"-6,00","R$ 5,99",,Loja,NITA,"-R$ 35,94",11010010,UN
"R$ 35.167.575,97",M185-1,FARINHA TRIGO NITA 1KG,Mercearia,"8,00","R$ 5,60",,Loja,NITA,"R$ 44,80",11010010,UN
"R$ 35.167.575,97",M2314-1,FARINHA TRIGO NITA 1KG PURISSIMA,Mercearia,"-1,00","R$ 5,69",,Loja,NITA,"-R$ 5,69",11010010,UN
"R$ 35.167.575,97",M226-1,FARINHA TRIGO RENATA 1KG,Mercearia,"9,00","R$ 8,50",,Loja,RENATA,"R$ 76,50",11010010,UN
"R$ 35.167.575,97",7896117600164,FAROFA  MONJOLINHO 400G,Mercearia,"-1,00","R$ 5,20",,Loja,MONJOLINHO,"-R$ 5,20",19019090,UN
"R$ 35.167.575,97",M2535-1,FAROFA CASEIRA COSTELA 350G,Mercearia,"-12,00","R$ 12,90",,Loja,CONDINEW,"-R$ 154,80",19019090,UN
"R$ 35.167.575,97",M2536-1,FAROFA CASEIRA PEQUI 350G,Mercearia,"-8,00","R$ 12,90",,Loja,CONDIN,"-R$ 103,20",19019090,UN
"R$ 35.167.575,97",M2534-1,FAROFA CASEIRA PICANTE 350G,Mercearia,"-5,00","R$ 12,90",,Loja,CONDINEW,"-R$ 64,50",19019090,UN
"R$ 35.167.575,97",M1331-1,FAROFA DE MANDIOCA MONJOLINHO 250G,Mercearia,"-9,00","R$ 3,90",,Loja,MONJOLINHO,"-R$ 35,10",19019090,UN
"R$ 35.167.575,97",M2208-1,FAROFA DE MANDIOCA SABOR BACON400G,Mercearia,"-15,00","R$ 5,90",,Loja,DEUSA,"-R$ 88,50",11022000,UN
