TextBox1,aTSV_MerchandiseCustomCodeDataTextBox,aTSV_MerchandiseDescriptionDataTextBox,aTSV_BrandDescriptionDataTextBox,aTNU_SaleQuantityDataTextBox,TextBox3
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M895-1,SUCO MAGUARY CONCENTRADO MARACUJÁ 500ML,MAGUARY,9,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M896-1,SUCO MAGUARY CAJU 500ML,MAGUARY,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M432-1,SUCO MACA SLIM 200ML,YAKULT,34,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1555-1,SUCO LIFE UVA 900ML,LIFE,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M991-1,SUCO DE MARACUJA SERIGY,SERIRY,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1096-1,SUCO DE LARANJA LIFE 900ML,LIFE,54,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1095-1,SUCO DE LARANJA LIFE 300ML,LIFE,6,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7891141019838,"SUCO AURORA 1,5L UVA TINTO",AURORA,4,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M102-1,"SUCO AURORA 1,5 LITRO UVA TINTO",AURORA,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000143,SUAN DE PORCO,.,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000111,STROGONOFF DE FRANGO,.,"131,465",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,000044,STROGONOFF DE CARNE,.,"2,063",Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M2069-1,STELLA ARTOIS PURO GOLD 330ML,STELLA,29,Todos
